forest_type,forest_quality_left,nutritional_quality_left,threat_encounter_left,forest_quality_right,nutritional_quality_right,threat_encounter_right
0,0.3333333333333333,1.0,0.0,0.5,1.0,0.5
1,0.6,1.0,0.0,0.625,1.0,0.25
2,0.6,2.0,0.0,0.6666666666666666,2.0,0.3333333333333333
3,0.6,2.0,0.0,0.625,2.0,0.25
4,0.25,2.0,0.0,0.2857142857142857,2.0,0.2857142857142857
5,0.5,2.0,0.0,0.5714285714285714,2.0,0.2857142857142857
6,0.4,1.0,0.0,0.4285714285714285,1.0,0.2857142857142857
7,0.5,2.0,0.0,0.5714285714285714,2.0,0.2857142857142857
8,0.4,2.0,0.0,0.5,2.0,0.3333333333333333
9,0.5,1.0,0.25,0.2,1.0,0.2
10,0.3333333333333333,2.0,0.0,0.375,2.0,0.25
11,0.6,1.0,0.2,0.3333333333333333,1.0,0.1111111111111111
12,0.5,2.0,0.25,0.2857142857142857,2.0,0.1428571428571428
13,0.5714285714285714,2.0,0.0,0.625,2.0,0.25
14,0.5,2.0,0.1666666666666666,0.3333333333333333,2.0,0.1111111111111111
15,0.5,1.0,0.25,0.2,1.0,0.1
16,0.5,1.0,0.0,0.5714285714285714,1.0,0.2857142857142857
17,0.6666666666666666,1.0,0.3333333333333333,0.25,1.0,0.25
18,0.3333333333333333,1.0,0.0,0.4,1.0,0.4
19,0.6666666666666666,1.0,0.3333333333333333,0.3,1.0,0.1
20,0.5,2.0,0.5,0.2,2.0,0.2
21,0.6666666666666666,2.0,0.3333333333333333,0.2222222222222222,2.0,0.0
22,0.25,1.0,0.0,0.6666666666666666,1.0,0.6666666666666666
23,0.5,1.0,0.25,0.2857142857142857,1.0,0.1428571428571428
24,0.3333333333333333,1.0,0.0,0.6666666666666666,1.0,0.6666666666666666
25,0.4,1.0,0.0,0.5,1.0,0.3333333333333333
26,0.5,1.0,0.25,0.3,1.0,0.2
27,0.3333333333333333,2.0,0.1666666666666666,0.2222222222222222,2.0,0.1111111111111111
28,0.4,1.0,0.2,0.2222222222222222,1.0,0.1111111111111111
29,0.4,2.0,0.4,0.2,2.0,0.2
30,0.5,1.0,0.0,0.5714285714285714,1.0,0.2857142857142857
31,0.5,1.0,0.0,0.6,1.0,0.4
32,0.5,1.0,0.25,0.2,1.0,0.0
33,0.5,2.0,0.0,0.6666666666666666,2.0,0.6666666666666666
34,0.3333333333333333,2.0,0.0,0.375,2.0,0.25
35,0.6666666666666666,2.0,0.3333333333333333,0.3,2.0,0.2
36,0.6666666666666666,2.0,0.3333333333333333,0.3,2.0,0.1
37,0.6666666666666666,1.0,0.3333333333333333,0.2,1.0,0.0
38,0.2857142857142857,2.0,0.0,0.3,2.0,0.2
39,0.5,2.0,0.25,0.2,2.0,0.0
40,0.5,2.0,0.0,0.5714285714285714,2.0,0.2857142857142857
41,0.3333333333333333,2.0,0.3333333333333333,0.2,2.0,0.2
42,0.25,2.0,0.0,0.6666666666666666,2.0,0.6666666666666666
43,0.6666666666666666,1.0,0.3333333333333333,0.2857142857142857,1.0,0.1428571428571428
44,0.25,1.0,0.0,0.2857142857142857,1.0,0.2857142857142857
45,0.625,2.0,0.0,0.6666666666666666,2.0,0.2222222222222222
46,0.6666666666666666,1.0,0.3333333333333333,0.2222222222222222,1.0,0.0
47,0.5,1.0,0.1666666666666666,0.3,1.0,0.1
48,0.5,2.0,0.0,0.6,2.0,0.4
49,0.4285714285714285,2.0,0.0,0.4444444444444444,2.0,0.2222222222222222
50,0.3333333333333333,2.0,0.1666666666666666,0.2,2.0,0.0
51,0.3333333333333333,2.0,0.0,0.4,2.0,0.4
52,0.6666666666666666,2.0,0.3333333333333333,0.3333333333333333,2.0,0.2222222222222222
53,0.5,2.0,0.0,0.6,2.0,0.4
54,0.5,1.0,0.5,0.2,1.0,0.2
55,0.4,1.0,0.2,0.25,1.0,0.125
56,0.4,2.0,0.0,0.4285714285714285,2.0,0.2857142857142857
57,0.6666666666666666,1.0,0.3333333333333333,0.2222222222222222,1.0,0.1111111111111111
58,0.6666666666666666,1.0,0.3333333333333333,0.2,1.0,0.2
59,0.6666666666666666,2.0,0.1666666666666666,0.4444444444444444,2.0,0.1111111111111111
60,0.5,2.0,0.25,0.2222222222222222,2.0,0.2222222222222222
61,0.3333333333333333,2.0,0.0,0.6666666666666666,2.0,0.6666666666666666
62,0.6666666666666666,2.0,0.3333333333333333,0.2,2.0,0.1
63,0.5,1.0,0.0,0.5714285714285714,1.0,0.2857142857142857
64,0.2,2.0,0.0,0.2222222222222222,2.0,0.2222222222222222
65,0.4,2.0,0.2,0.2222222222222222,2.0,0.1111111111111111
66,0.3333333333333333,2.0,0.0,0.5,2.0,0.5
67,0.6666666666666666,2.0,0.3333333333333333,0.2857142857142857,2.0,0.1428571428571428
68,0.6666666666666666,2.0,0.3333333333333333,0.2857142857142857,2.0,0.2857142857142857
69,0.5,1.0,0.0,0.6666666666666666,1.0,0.6666666666666666
70,0.5,2.0,0.25,0.3333333333333333,2.0,0.2222222222222222
71,0.5,1.0,0.0,0.6,1.0,0.4
